female,age,edu,income,region,mps,people,officials,leg2019_voted,leg2019,pres2019_1_voted,pres2019_1,pres2019_2_voted,pres2019_2
male,43,2,2,Kairouan,neither agree nor disagree,neither agree nor disagree,strongly agree,2,NA,2,NA,2,NA
male,60,4,4,Siliana,strongly disagree,strongly agree,strongly agree,1,96,1,1,1,1
male,36,4,5,Gafsa,neither agree nor disagree,strongly agree,strongly disagree,1,1,1,1,1,1
male,50,2,5,Nabeul,strongly agree,agree,strongly agree,2,NA,2,NA,2,NA
male,47,6,3,Bizerte,strongly agree,strongly agree,strongly agree,1,3,1,4,1,1
male,53,4,3,Zaghouan,strongly agree,strongly agree,strongly agree,1,3,1,1,1,1
male,58,4,5,Sfax,neither agree nor disagree,strongly agree,strongly agree,1,5,1,1,1,1
male,37,8,8,Ariana,strongly agree,strongly agree,strongly agree,1,99,1,1,1,1
male,25,2,2,Sidi Bou Zid,strongly agree,strongly agree,strongly agree,1,4,1,98,1,99
male,51,2,3,Monastir,strongly agree,strongly agree,strongly agree,1,3,1,1,1,1
male,29,7,NA,Nabeul,agree,agree,agree,2,NA,2,NA,2,NA
male,41,4,4,Sousse,strongly agree,strongly agree,strongly agree,1,98,1,1,1,1
male,56,2,3,Nabeul,agree,agree,agree,2,NA,2,NA,2,NA
male,60,2,2,Sfax,strongly agree,neither agree nor disagree,strongly agree,1,3,1,1,1,1
male,22,3,5,Sfax,strongly disagree,disagree,strongly disagree,2,NA,2,NA,2,NA
male,55,7,4,Gabes,strongly agree,disagree,strongly agree,1,6,1,1,1,1
male,26,4,3,Ben Arous,strongly agree,disagree,disagree,1,3,1,1,1,1
male,27,6,3,Mahdia,strongly agree,agree,strongly agree,2,NA,2,NA,2,NA
male,28,3,4,Mahdia,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,40,8,4,Sfax,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,1,99,1,99,1,99
male,42,2,3,Nabeul,strongly agree,strongly agree,strongly agree,1,1,1,1,1,1
male,42,5,2,Monastir,strongly agree,disagree,strongly agree,1,97,1,1,1,1
male,37,4,3,Kebili,disagree,agree,agree,1,5,1,11,1,1
male,37,2,2,Sfax,NA,disagree,strongly agree,2,NA,1,1,1,1
male,42,2,4,Sidi Bou Zid,strongly disagree,agree,strongly agree,1,1,98,NA,1,1
male,45,4,3,Medenine,neither agree nor disagree,strongly disagree,strongly agree,2,NA,2,NA,2,NA
male,46,4,2,Kasserine,disagree,strongly agree,strongly disagree,2,NA,2,NA,2,NA
male,43,2,3,Bizerte,agree,strongly agree,strongly agree,1,1,2,NA,1,1
male,63,4,2,Kairouan,strongly agree,strongly agree,agree,1,99,1,1,1,1
male,29,4,6,Ariana,disagree,strongly disagree,strongly disagree,2,NA,2,NA,2,NA
male,51,2,NA,Manouba,disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,46,4,8,Bizerte,strongly agree,strongly disagree,strongly agree,1,3,1,9,1,2
male,42,2,NA,Sfax,strongly agree,strongly agree,strongly agree,2,NA,1,1,1,1
male,48,2,4,Sousse,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,57,4,3,Monastir,agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,29,4,3,Sousse,neither agree nor disagree,disagree,strongly agree,1,1,1,5,1,1
male,21,5,NA,Monastir,strongly disagree,agree,agree,2,NA,1,1,1,1
male,58,4,7,Mahdia,agree,strongly disagree,agree,1,96,1,1,1,1
male,47,2,3,Zaghouan,strongly agree,strongly agree,strongly agree,1,96,1,1,1,1
male,57,5,8,Sfax,agree,disagree,disagree,1,6,1,4,1,1
male,54,4,3,Ben Arous,strongly disagree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,41,4,3,Le Kef,strongly agree,strongly disagree,strongly agree,1,1,1,1,1,1
male,32,4,3,Sfax,strongly disagree,disagree,strongly agree,1,1,1,1,1,1
male,20,4,3,Kairouan,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,28,4,8,Ariana,agree,strongly agree,strongly agree,2,NA,2,NA,1,1
male,48,4,3,Monastir,strongly disagree,strongly agree,strongly agree,1,97,1,1,1,1
male,61,6,8,Monastir,strongly disagree,agree,strongly agree,1,1,1,98,1,1
male,46,2,2,Sousse,disagree,strongly agree,strongly disagree,2,NA,2,NA,2,NA
male,40,4,4,Sidi Bou Zid,strongly agree,agree,strongly agree,2,NA,1,1,1,1
male,40,2,2,Sfax,neither agree nor disagree,agree,agree,2,NA,2,NA,2,NA
male,63,4,1,Kairouan,disagree,strongly agree,NA,1,3,2,NA,2,NA
male,20,4,6,Sfax,strongly agree,strongly agree,strongly agree,2,NA,2,NA,2,NA
male,35,4,3,Tozeur,strongly agree,agree,strongly agree,2,NA,1,1,1,1
male,40,7,5,Monastir,neither agree nor disagree,strongly agree,strongly disagree,1,99,1,1,1,1
male,60,4,4,Medenine,strongly agree,disagree,strongly agree,2,NA,2,NA,2,NA
male,51,4,2,Kebili,strongly disagree,strongly agree,agree,2,NA,2,NA,2,NA
